ISO|Code|Code2|Freq|Time|Value
A5M|CSCICP04|GPSA|M|1995M10|0.05
A5M|CSCICP04|GPSA|M|1995M11|0.05
A5M|CSCICP04|GPSA|M|1995M12|0.06
A5M|CSCICP04|GPSA|M|1996M1|0.07
A5M|CSCICP04|GPSA|M|1996M2|0.07
A5M|CSCICP04|GPSA|M|1996M3|0.04
A5M|CSCICP04|GPSA|M|1996M4|0.02
A5M|CSCICP04|GPSA|M|1996M5|-0.05
A5M|CSCICP04|GPSA|M|1996M6|-0.06
A5M|CSCICP04|GPSA|M|1996M7|-0.03
A5M|CSCICP04|GPSA|M|1996M8|-0.07
A5M|CSCICP04|GPSA|M|1996M9|-0.05
A5M|CSCICP04|GPSA|M|1996M10|-0.05
A5M|CSCICP04|GPSA|M|1996M11|-0.22
A5M|CSCICP04|GPSA|M|1996M12|-0.24
A5M|CSCICP04|GPSA|M|1997M1|-0.58
A5M|CSCICP04|GPSA|M|1997M2|0.1
A5M|CSCICP04|GPSA|M|1997M3|0.12
A5M|CSCICP04|GPSA|M|1997M4|0.15
A5M|CSCICP04|GPSA|M|1997M5|0.08
A5M|CSCICP04|GPSA|M|1997M6|0.08
A5M|CSCICP04|GPSA|M|1997M7|0.08
A5M|CSCICP04|GPSA|M|1997M8|-0.21
A5M|CSCICP04|GPSA|M|1997M9|-0.24
A5M|CSCICP04|GPSA|M|1997M10|-0.25
A5M|CSCICP04|GPSA|M|1997M11|-0.03
A5M|CSCICP04|GPSA|M|1997M12|-0.01
A5M|CSCICP04|GPSA|M|1998M1|0.13
A5M|CSCICP04|GPSA|M|1998M2|-0.18
A5M|CSCICP04|GPSA|M|1998M3|-0.28
A5M|CSCICP04|GPSA|M|1998M4|-0.04
A5M|CSCICP04|GPSA|M|1998M5|-0.13
A5M|CSCICP04|GPSA|M|1998M6|-0.16
A5M|CSCICP04|GPSA|M|1998M7|-0.22
A5M|CSCICP04|GPSA|M|1998M8|0.19
A5M|CSCICP04|GPSA|M|1998M9|0.05
A5M|CSCICP04|GPSA|M|1998M10|0.14
A5M|CSCICP04|GPSA|M|1998M11|0.04
A5M|CSCICP04|GPSA|M|1998M12|0.17
A5M|CSCICP04|GPSA|M|1999M1|0.2
A5M|CSCICP04|GPSA|M|1999M2|0.05
A5M|CSCICP04|GPSA|M|1999M3|-0.02
A5M|CSCICP04|GPSA|M|1999M4|0.03
A5M|CSCICP04|GPSA|M|1999M5|0.14
A5M|CSCICP04|GPSA|M|1999M6|0.11
A5M|CSCICP04|GPSA|M|1999M7|-0.02
A5M|CSCICP04|GPSA|M|1999M8|0.16
A5M|CSCICP04|GPSA|M|1999M9|0.05
A5M|CSCICP04|GPSA|M|1999M10|0.03
A5M|CSCICP04|GPSA|M|1999M11|0.06
A5M|CSCICP04|GPSA|M|1999M12|0.11
A5M|CSCICP04|GPSA|M|2000M1|-0.02
A5M|CSCICP04|GPSA|M|2000M2|0.06
A5M|CSCICP04|GPSA|M|2000M3|0.03
A5M|CSCICP04|GPSA|M|2000M4|0.04
A5M|CSCICP04|GPSA|M|2000M5|0.02
A5M|CSCICP04|GPSA|M|2000M6|0.05
A5M|CSCICP04|GPSA|M|2000M7|0.06
A5M|CSCICP04|GPSA|M|2000M8|0.01
A5M|CSCICP04|GPSA|M|2000M9|-0.15
A5M|CSCICP04|GPSA|M|2000M10|-0.01
A5M|CSCICP04|GPSA|M|2000M11|-0.21
A5M|CSCICP04|GPSA|M|2000M12|-0.11
A5M|CSCICP04|GPSA|M|2001M1|-0.03
A5M|CSCICP04|GPSA|M|2001M2|0.02
A5M|CSCICP04|GPSA|M|2001M3|0.05
A5M|CSCICP04|GPSA|M|2001M4|0.06
A5M|CSCICP04|GPSA|M|2001M5|-0.07
A5M|CSCICP04|GPSA|M|2001M6|-0.12
A5M|CSCICP04|GPSA|M|2001M7|-0.07
A5M|CSCICP04|GPSA|M|2001M8|0.19
A5M|CSCICP04|GPSA|M|2001M9|-0.09
A5M|CSCICP04|GPSA|M|2001M10|-0.08
A5M|CSCICP04|GPSA|M|2001M11|0
A5M|CSCICP04|GPSA|M|2001M12|0.13
A5M|CSCICP04|GPSA|M|2002M1|0.01
A5M|CSCICP04|GPSA|M|2002M2|0.04
A5M|CSCICP04|GPSA|M|2002M3|0.14
A5M|CSCICP04|GPSA|M|2002M4|0.01
A5M|CSCICP04|GPSA|M|2002M5|-0.02
A5M|CSCICP04|GPSA|M|2002M6|0.06
A5M|CSCICP04|GPSA|M|2002M7|-0.03
A5M|CSCICP04|GPSA|M|2002M8|-0.06
A5M|CSCICP04|GPSA|M|2002M9|-0.05
A5M|CSCICP04|GPSA|M|2002M10|-0.1
A5M|CSCICP04|GPSA|M|2002M11|-0.09
A5M|CSCICP04|GPSA|M|2002M12|-0.01
A5M|CSCICP04|GPSA|M|2003M1|-0.13
A5M|CSCICP04|GPSA|M|2003M2|0.08
A5M|CSCICP04|GPSA|M|2003M3|-0.05
A5M|CSCICP04|GPSA|M|2003M4|-0.6
A5M|CSCICP04|GPSA|M|2003M5|-0.09
A5M|CSCICP04|GPSA|M|2003M6|0.29
A5M|CSCICP04|GPSA|M|2003M7|0.34
A5M|CSCICP04|GPSA|M|2003M8|0.1
A5M|CSCICP04|GPSA|M|2003M9|0.03
A5M|CSCICP04|GPSA|M|2003M10|0.12
A5M|CSCICP04|GPSA|M|2003M11|0.13
A5M|CSCICP04|GPSA|M|2003M12|0.15
A5M|CSCICP04|GPSA|M|2004M1|0.07
A5M|CSCICP04|GPSA|M|2004M2|-0.03
A5M|CSCICP04|GPSA|M|2004M3|-0.04
A5M|CSCICP04|GPSA|M|2004M4|0.24
A5M|CSCICP04|GPSA|M|2004M5|-0.09
A5M|CSCICP04|GPSA|M|2004M6|-0.42
A5M|CSCICP04|GPSA|M|2004M7|0.4
A5M|CSCICP04|GPSA|M|2004M8|-0.02
A5M|CSCICP04|GPSA|M|2004M9|-0.13
A5M|CSCICP04|GPSA|M|2004M10|0.28
A5M|CSCICP04|GPSA|M|2004M11|0.09
A5M|CSCICP04|GPSA|M|2004M12|-0.21
A5M|CSCICP04|GPSA|M|2005M1|0.16
A5M|CSCICP04|GPSA|M|2005M2|0.13
A5M|CSCICP04|GPSA|M|2005M3|-0.2
A5M|CSCICP04|GPSA|M|2005M4|0.13
A5M|CSCICP04|GPSA|M|2005M5|0.03
A5M|CSCICP04|GPSA|M|2005M6|-0.06
A5M|CSCICP04|GPSA|M|2005M7|0.11
A5M|CSCICP04|GPSA|M|2005M8|0.03
A5M|CSCICP04|GPSA|M|2005M9|-0.24
A5M|CSCICP04|GPSA|M|2005M10|0.05
A5M|CSCICP04|GPSA|M|2005M11|0.05
A5M|CSCICP04|GPSA|M|2005M12|0.03
A5M|CSCICP04|GPSA|M|2006M1|0.17
A5M|CSCICP04|GPSA|M|2006M2|-0.1
A5M|CSCICP04|GPSA|M|2006M3|-0.06
A5M|CSCICP04|GPSA|M|2006M4|0.02
A5M|CSCICP04|GPSA|M|2006M5|-0.05
A5M|CSCICP04|GPSA|M|2006M6|-0.09
A5M|CSCICP04|GPSA|M|2006M7|0.11
A5M|CSCICP04|GPSA|M|2006M8|-0.03
A5M|CSCICP04|GPSA|M|2006M9|0.04
A5M|CSCICP04|GPSA|M|2006M10|0.15
A5M|CSCICP04|GPSA|M|2006M11|0.11
A5M|CSCICP04|GPSA|M|2006M12|-0.08
A5M|CSCICP04|GPSA|M|2007M1|0.03
A5M|CSCICP04|GPSA|M|2007M2|-0.03
A5M|CSCICP04|GPSA|M|2007M3|-0.19
A5M|CSCICP04|GPSA|M|2007M4|0.14
A5M|CSCICP04|GPSA|M|2007M5|0.04
A5M|CSCICP04|GPSA|M|2007M6|-0.04
A5M|CSCICP04|GPSA|M|2007M7|-0.05
A5M|CSCICP04|GPSA|M|2007M8|0.06
A5M|CSCICP04|GPSA|M|2007M9|-0.07
A5M|CSCICP04|GPSA|M|2007M10|-0.05
A5M|CSCICP04|GPSA|M|2007M11|-0.19
A5M|CSCICP04|GPSA|M|2007M12|0.02
A5M|CSCICP04|GPSA|M|2008M1|-0.21
A5M|CSCICP04|GPSA|M|2008M2|-0.22
A5M|CSCICP04|GPSA|M|2008M3|-0.05
A5M|CSCICP04|GPSA|M|2008M4|-0.19
A5M|CSCICP04|GPSA|M|2008M5|-0.16
A5M|CSCICP04|GPSA|M|2008M6|-0.14
A5M|CSCICP04|GPSA|M|2008M7|-0.12
A5M|CSCICP04|GPSA|M|2008M8|0.08
A5M|CSCICP04|GPSA|M|2008M9|0.04
A5M|CSCICP04|GPSA|M|2008M10|-0.28
A5M|CSCICP04|GPSA|M|2008M11|-0.28
A5M|CSCICP04|GPSA|M|2008M12|-0.43
A5M|CSCICP04|GPSA|M|2009M1|0.03
A5M|CSCICP04|GPSA|M|2009M2|0.02
A5M|CSCICP04|GPSA|M|2009M3|0.01
A5M|CSCICP04|GPSA|M|2009M4|0.37
A5M|CSCICP04|GPSA|M|2009M5|0.33
A5M|CSCICP04|GPSA|M|2009M6|0.11
A5M|CSCICP04|GPSA|M|2009M7|0.26
A5M|CSCICP04|GPSA|M|2009M8|0.16
A5M|CSCICP04|GPSA|M|2009M9|0
A5M|CSCICP04|GPSA|M|2009M10|0.1
A5M|CSCICP04|GPSA|M|2009M11|-0.05
A5M|CSCICP04|GPSA|M|2009M12|-0.06
A5M|CSCICP04|GPSA|M|2010M1|0.14
A5M|CSCICP04|GPSA|M|2010M2|-0.02
A5M|CSCICP04|GPSA|M|2010M3|0.37
A5M|CSCICP04|GPSA|M|2010M4|-0.11
A5M|CSCICP04|GPSA|M|2010M5|0.1
A5M|CSCICP04|GPSA|M|2010M6|0.07
A5M|CSCICP04|GPSA|M|2010M7|-0.04
A5M|CSCICP04|GPSA|M|2010M8|-0.07
A5M|CSCICP04|GPSA|M|2010M9|-0.37
A5M|CSCICP04|GPSA|M|2010M10|-0.02
A5M|CSCICP04|GPSA|M|2010M11|-0.02
A5M|CSCICP04|GPSA|M|2010M12|-0.22
A5M|CSCICP04|GPSA|M|2011M1|0
A5M|CSCICP04|GPSA|M|2011M2|-0.08
A5M|CSCICP04|GPSA|M|2011M3|0.5
A5M|CSCICP04|GPSA|M|2011M4|-0.31
A5M|CSCICP04|GPSA|M|2011M5|-0.01
A5M|CSCICP04|GPSA|M|2011M6|0.26
A5M|CSCICP04|GPSA|M|2011M7|-0.14
A5M|CSCICP04|GPSA|M|2011M8|-0.09
A5M|CSCICP04|GPSA|M|2011M9|-0.07
A5M|CSCICP04|GPSA|M|2011M10|-0.22
A5M|CSCICP04|GPSA|M|2011M11|-0.3
A5M|CSCICP04|GPSA|M|2011M12|0.31
A5M|CSCICP04|GPSA|M|2012M1|0.36
A5M|CSCICP04|GPSA|M|2012M2|0.09
A5M|CSCICP04|GPSA|M|2012M3|-0.49
A5M|CSCICP04|GPSA|M|2012M4|0.29
A5M|CSCICP04|GPSA|M|2012M5|0.17
A5M|CSCICP04|GPSA|M|2012M6|-0.49
A5M|CSCICP04|GPSA|M|2012M7|-0.13
A5M|CSCICP04|GPSA|M|2012M8|0.15
A5M|CSCICP04|GPSA|M|2012M9|0.13
A5M|CSCICP04|GPSA|M|2012M10|0.41
A5M|CSCICP04|GPSA|M|2012M11|-0.08
A5M|CSCICP04|GPSA|M|2012M12|-0.15
A5M|CSCICP04|GPSA|M|2013M1|0.14
A5M|CSCICP04|GPSA|M|2013M2|0.26
A5M|CSCICP04|GPSA|M|2013M3|-0.45
A5M|CSCICP04|GPSA|M|2013M4|0.09
A5M|CSCICP04|GPSA|M|2013M5|-0.3
A5M|CSCICP04|GPSA|M|2013M6|-0.13
A5M|CSCICP04|GPSA|M|2013M7|-0.23
A5M|CSCICP04|GPSA|M|2013M8|-0.17
A5M|CSCICP04|GPSA|M|2013M9|0.04
A5M|CSCICP04|GPSA|M|2013M10|0.23
A5M|CSCICP04|GPSA|M|2013M11|-0.17
A5M|CSCICP04|GPSA|M|2013M12|0.28
A5M|CSCICP04|GPSA|M|2014M1|-0.02
A5M|CSCICP04|GPSA|M|2014M2|0.19
A5M|CSCICP04|GPSA|M|2014M3|0.44
A5M|CSCICP04|GPSA|M|2014M4|-0.22
A5M|CSCICP04|GPSA|M|2014M5|-0.09
A5M|CSCICP04|GPSA|M|2014M6|0.3
A5M|CSCICP04|GPSA|M|2014M7|0.05
A5M|CSCICP04|GPSA|M|2014M8|-0.03
A5M|CSCICP04|GPSA|M|2014M9|0.15
A5M|CSCICP04|GPSA|M|2014M10|-0.24
A5M|CSCICP04|GPSA|M|2014M11|0.07
A5M|CSCICP04|GPSA|M|2014M12|-0.03
A5M|CSCICP04|GPSA|M|2015M1|0.14
