ISO|Code|Code2|Freq|Time|Value
SVK|CSCICP04|GPSA|M|2024M4|0.02
SVK|CSCICP04|GPSA|M|2024M5|0.18
SVK|CSCICP04|GPSA|M|2024M6|0.05
SVK|CSCICP04|GPSA|M|2024M7|0
SVK|CSCICP04|GPSA|M|2024M8|-0.07
SVK|CSCICP04|GPSA|M|2024M9|-0.15
SVN|CSCICP04|GPSA|M|2024M4|0.28
SVN|CSCICP04|GPSA|M|2024M5|-0.02
SVN|CSCICP04|GPSA|M|2024M6|0.26
SVN|CSCICP04|GPSA|M|2024M7|-0.11
SVN|CSCICP04|GPSA|M|2024M8|0.11
SVN|CSCICP04|GPSA|M|2024M9|-0.38
SWE|CSCICP04|GPSA|M|2024M4|0.1
SWE|CSCICP04|GPSA|M|2024M5|0.5
SWE|CSCICP04|GPSA|M|2024M6|0.16
SWE|CSCICP04|GPSA|M|2024M7|-0.05
SWE|CSCICP04|GPSA|M|2024M8|0.16
SWE|CSCICP04|GPSA|M|2024M9|0.24
TUR|CSCICP04|GPSA|M|2024M4|0.11
TUR|CSCICP04|GPSA|M|2024M5|0
TUR|CSCICP04|GPSA|M|2024M6|-0.22
TUR|CSCICP04|GPSA|M|2024M7|-0.24
TUR|CSCICP04|GPSA|M|2024M8|0.05
TUR|CSCICP04|GPSA|M|2024M9|0.18
USA|CSCICP04|GPSA|M|2024M4|-0.17
USA|CSCICP04|GPSA|M|2024M5|-0.64
USA|CSCICP04|GPSA|M|2024M6|-0.07
USA|CSCICP04|GPSA|M|2024M7|-0.14
USA|CSCICP04|GPSA|M|2024M8|0.12
USA|CSCICP04|GPSA|M|2024M9|0.18
ZAF|CSCICP04|GPSA|M|2024M4|0.15
ZAF|CSCICP04|GPSA|M|2024M5|0.15
ZAF|CSCICP04|GPSA|M|2024M6|0.15
ZAF|CSCICP04|GPSA|M|2024M7|0.15
ZAF|CSCICP04|GPSA|M|2024M8|0.15
ZAF|CSCICP04|GPSA|M|2024M9|0.15
